Name of Location,Address of Location,City,State,Zip,Website,Phone Number,Distance (miles),Rating
Southeast Dermatology Specialists,"4645 Timber Ridge Dr, Ste 100, Douglasville, GA 30135",Douglasville,GA,30135,https://www.yelp.com/biz/southeast-dermatology-specialists-douglasville?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+16787023376,16.8,2.5
Family Dermatology,"4645 Timber Ridge Dr, Ste 120, Douglasville, GA 30135",Douglasville,GA,30135,https://www.yelp.com/biz/family-dermatology-douglasville?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+16788389090,16.8,1.1
Emory Healthcare,"5461 Hillandale Dr, Lithonia, GA 30058",Lithonia,GA,30058,https://www.yelp.com/biz/emory-healthcare-lithonia?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14047788100,17.05,4.0
Live Oak Dermatology,"135 Norcross St, Roswell, GA 30075",Roswell,GA,30075,https://www.yelp.com/biz/live-oak-dermatology-roswell?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+16788702020,17.07,4.4
"Amr Agha, MD - Advanced Dermatology","3459 Acworth Due West Rd, Ste 305, Acworth, GA 30101",Acworth,GA,30101,https://www.yelp.com/biz/amr-agha-md-advanced-dermatology-acworth?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17707397546,17.19,2.2
Marietta Dermatology & The Skin Cancer Center,"5041 Dallas Hwy, Bldg  200-Ste D, Powder Springs, GA 30127",Powder Springs,GA,30127,https://www.yelp.com/biz/marietta-dermatology-and-the-skin-cancer-center-powder-springs-3?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17704221013,17.92,2.3
Aesthetic Specialty Centre,"1825 Old Alabama Rd, Ste 201, Roswell, GA 30076",Roswell,GA,30076,https://www.yelp.com/biz/aesthetic-specialty-centre-roswell-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17703939000,18.02,4.5
Bella Dermatology - Lithonia,"5900 Hillandale Rd, Ste 320, Lithonia, GA 30058",Lithonia,GA,30058,https://www.yelp.com/biz/bella-dermatology-lithonia-lithonia?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17706370437,18.04,0.0
Georgia Dermatology & Skin Cancer Center,"415 E Crossville Rd, Roswell, GA 30075",Roswell,GA,30075,https://www.yelp.com/biz/georgia-dermatology-and-skin-cancer-center-roswell?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17706424644,18.11,2.7
"McClure Robert, MD","5024 Lawrenceville Hwy NW, Lilburn, GA 30047",Lilburn,GA,30047,https://www.yelp.com/biz/mcclure-robert-md-lilburn?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17709214740,18.58,3.3
Family Dermatology,"629 Beaver Ruin Rd NW, Ste B, Lilburn, GA 30047",Lilburn,GA,30047,https://www.yelp.com/biz/family-dermatology-lilburn?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14703758252,19.99,1.5
Goodman Dermatology,"2500 Hospital Blvd, Ste 280, Roswell, GA 30076",Roswell,GA,30076,https://www.yelp.com/biz/goodman-dermatology-roswell-5?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17707540787,20.19,4.5
Krakow Richard A MD,"11685 Alpharetta Hwy, Roswell, GA 30076",Roswell,GA,30076,https://www.yelp.com/biz/krakow-richard-a-md-roswell?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17704423328,20.33,5.0
"David Olansky, MD","11755 Pointe Pl, Ste B-2, Roswell, GA 30076",Roswell,GA,30076,https://www.yelp.com/biz/david-olansky-md-roswell?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14043555484,20.35,4.0
Olansky Dermatology Associates,"11755 Pointe Pl, Ste B-2, Roswell, GA 30076",Roswell,GA,30076,https://www.yelp.com/biz/olansky-dermatology-associates-roswell?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17704107860,20.36,5.0
The Center for Plastic Surgery at MetroDerm,"4374 Atlanta Hwy, Ste 103, Hiram, GA 30141",Hiram,GA,30141,https://www.yelp.com/biz/the-center-for-plastic-surgery-at-metroderm-hiram?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17707261277,20.39,1.0
Hamilton Dermatology,"11800 Atlantis Pl, Alpharetta, GA 30022",Alpharetta,GA,30022,https://www.yelp.com/biz/hamilton-dermatology-alpharetta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17703608881,20.41,3.6
Atlanta Center For Dermatologic Diseases,"1265 Upper Hembree Rd, Ste 100, Roswell, GA 30076",Roswell,GA,30076,https://www.yelp.com/biz/atlanta-center-for-dermatologic-diseases-roswell-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17707511133,20.45,3.3
"Silverstein Judith L, MD","1265 Upper Hembree Rd, Ste 100, Roswell, GA 30076",Roswell,GA,30076,https://www.yelp.com/biz/silverstein-judith-l-md-roswell?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17707511133,20.45,5.0
"Felicity Warren, MD","3993 Lawrenceville Hwy, Ste 110, The Dermatology Institute of Georgia, Lilburn, GA 30047",Lilburn,GA,30047,https://www.yelp.com/biz/felicity-warren-md-lilburn-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17708525552,20.69,2.0
"The Dermatology Institute of Georgia: Felicity Warren, MD","3993 Lawrenceville Hwy NW, Ste 110, Lilburn, GA 30047",Lilburn,GA,30047,https://www.yelp.com/biz/the-dermatology-institute-of-georgia-lilburn-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17708525552,20.7,2.9
Skin Cancer Specialists and Aesthetic Center,"850 Charles Hardy Pkwy, Dallas, GA 30157",Dallas,GA,30157,https://www.yelp.com/biz/skin-cancer-specialists-and-aesthetic-center-dallas?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17703368888,20.73,5.0
MetroDerm - Hiram,"148 Bill Carruth Pkwy, Ste 280, Hiram, GA 30141",Hiram,GA,30141,https://www.yelp.com/biz/metroderm-hiram-hiram-3?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+16783633343,20.74,3.0
Vaughnn Rebecca MD,"148 Bill Carruth Pkwy, Hiram, GA 30141",Hiram,GA,30141,https://www.yelp.com/biz/vaughnn-rebecca-md-hiram?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+16783633343,20.75,0.0
Goodman Dermatology,"2001 Professional Pkwy, Ste 250, Woodstock, GA 30188",Woodstock,GA,30188,https://www.yelp.com/biz/goodman-dermatology-woodstock-3?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17707540791,20.76,4.5
Hillside Family Medicine,"1685 Mars Hill Rd, Ste 201, Acworth, GA 30101",Acworth,GA,30101,https://www.yelp.com/biz/hillside-family-medicine-acworth?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17704850031,20.76,3.4
MetroDerm - Lilburn,"4150 Five Forks Trickum Road, Ste 3, Lilburn, GA 30047",Lilburn,GA,30047,https://www.yelp.com/biz/metroderm-lilburn-lilburn?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17709214740,20.86,2.3
The Skin Care Clinic At Woodpark Medical Center,"203 Woodpark Pl, Bldg C, Woodstock, GA 30188",Woodstock,GA,30188,https://www.yelp.com/biz/the-skin-care-clinic-at-woodpark-medical-center-woodstock?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+16784340033,21.14,5.0
Laser Lights Cosmetic Laser Center,"4300 Pleasant Hill Rd, Ste D, Duluth, GA 30096",Duluth,GA,30096,https://www.yelp.com/biz/laser-lights-cosmetic-laser-center-duluth?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17704959322,21.65,4.0
Dermatology Center of Atlanta,"9900 Medlock Bridge Rd, Johns Creek, GA 30097",Johns Creek,GA,30097,https://www.yelp.com/biz/dermatology-center-of-atlanta-johns-creek?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17704970699,21.86,2.9
Cleaver Medical Group Dermatology,"3905 Brookside Pkwy, Ste 203, Alpharetta, GA 30022",Alpharetta,GA,30022,https://www.yelp.com/biz/cleaver-medical-group-dermatology-alpharetta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17708003455,21.86,5.0
North Atlanta Dermatology,"3850 Pleasant Hill Rd, Duluth, GA 30096",Duluth,GA,30096,https://www.yelp.com/biz/north-atlanta-dermatology-duluth?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17708148222,21.97,3.4
Atlanta Center For Dermatologic Diseases,"3400C Old Milton Pkwy, Ste 340, Alpharetta, GA 30005",Alpharetta,GA,30005,https://www.yelp.com/biz/atlanta-center-for-dermatologic-diseases-alpharetta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17706645225,22.04,2.3
North Pointe Dermatology,"3400 Old Milton Pkwy, Alpharetta, GA 30005",Alpharetta,GA,30005,https://www.yelp.com/biz/north-pointe-dermatology-alpharetta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17706641012,22.04,4.4
Corinne Smith MD,"3400-C Old Milton Parkwayste 565, Ste C565, North Pointe Dermatology, Alpharetta, GA 30005",Alpharetta,GA,30005,https://www.yelp.com/biz/smith-corinne-g-md-p-c-alpharetta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17706641012,22.05,5.0
"Weil Martin L, MD","3400C Old Milton Pkwy, Alpharetta, GA 30005",Alpharetta,GA,30005,https://www.yelp.com/biz/weil-martin-l-md-alpharetta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17706645225,22.06,4.5
Family Dermatology,"150 Towne Lake Pkwy, Woodstock, GA 30188",Woodstock,GA,30188,https://www.yelp.com/biz/family-dermatology-woodstock?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+16783887111,22.07,0.0
Atlanta Skin Cancer Specialists,"3330 Preston Ridge Rd, Ste 280, Alpharetta, GA 30005",Alpharetta,GA,30005,https://www.yelp.com/biz/atlanta-skin-cancer-specialists-alpharetta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14044463200,22.09,4.3
Modern Dermatology Atlanta,"120 Stonebridge Pkwy, Ste 440, Woodstock, GA 30189",Woodstock,GA,30189,https://www.yelp.com/biz/modern-dermatology-atlanta-woodstock?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17702507199,22.12,5.0
MetroDerm - Alpharetta,"3155 North Point Pkwy, Bldg E, Ste 100, Alpharetta, GA 30005",Alpharetta,GA,30005,https://www.yelp.com/biz/metroderm-alpharetta-alpharetta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17704756222,22.34,3.0
ATLANTA NORTH DERMATOLOGY SKIN CARE,"100 Stoneforest Dr, Ste 320, Woodstock, GA 30189",Woodstock,GA,30189,https://www.yelp.com/biz/atlanta-north-dermatology-and-skin-care-woodstock-3?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17705165199,22.35,3.4
"Sandra K. Roberson, MD - Atlanta Allergy & Asthma","100 Stoneforest Dr, Ste 220, Cherokee County, Woodstock, GA 30189",Woodstock,GA,30189,https://www.yelp.com/biz/sandra-k-roberson-md-atlanta-allergy-and-asthma-woodstock?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17709240096,22.35,0.0
Niren Eileen S MD,"3155 N Point Pkwy, Ste E100, Alpharetta, GA 30005",Alpharetta,GA,30005,https://www.yelp.com/biz/niren-eileen-s-md-alpharetta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17704756222,22.38,5.0
Premier Dermatology and Mohs Surgery of Atlanta,"3180 North Point Pkwy, Ste 420, Alpharetta, GA 30005",Alpharetta,GA,30005,https://www.yelp.com/biz/premier-dermatology-and-mohs-surgery-of-atlanta-alpharetta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+16783451899,22.55,3.3
Steele Dermatology,"11500 Webb Bridge Way, Alpharetta, GA 30005",Alpharetta,GA,30005,https://www.yelp.com/biz/steele-dermatology-alpharetta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17704646000,22.68,2.9
Tara Dermatology Center,"110 Eagles Walk, Stockbridge, GA 30281",Stockbridge,GA,30281,https://www.yelp.com/biz/tara-dermatology-center-stockbridge?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17709911000,22.7,3.0
Epiphany Dermatology,"110 Eagles Walk, Stockbridge, GA 30281",Stockbridge,GA,30281,https://www.yelp.com/biz/epiphany-dermatology-stockbridge?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14706154411,22.7,3.3
Peng Vincent T MD,"191 Medical Blvd, Stockbridge, GA 30281",Stockbridge,GA,30281,https://www.yelp.com/biz/peng-vincent-t-md-stockbridge?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17709911000,22.86,0.0
Mujica Juan A MD,"210 Village Center Pkwy, Stockbridge, GA 30281",Stockbridge,GA,30281,https://www.yelp.com/biz/mujica-juan-a-md-stockbridge-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17704745952,23.07,0.0
Pereyo Neville G MD,"210 Village Center Pkwy, Stockbridge, GA 30281",Stockbridge,GA,30281,https://www.yelp.com/biz/pereyo-neville-g-md-stockbridge-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17704745952,23.07,0.0
Woodstock Dermatology,"300 Parkbrooke Pl, Woodstock, GA 30189",Woodstock,GA,30189,https://www.yelp.com/biz/woodstock-dermatology-woodstock?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17709242573,23.09,5.0
Arasi Richard MD,"300 Parkbrooke Pl, Ste 360, Woodstock, GA 30189",Woodstock,GA,30189,https://www.yelp.com/biz/arasi-richard-md-woodstock?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17709242573,23.09,3.4
Dermatology & Skin Surgery Center,"210 Village Center Pkwy, Stockbridge, GA 30281",Stockbridge,GA,30281,https://www.yelp.com/biz/dermatology-and-skin-surgery-center-stockbridge?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17704745952,23.12,3.4
The Lump And Bump Doc,"1215 Eagles Landing Pkwy, Ste 205, Stockbridge, GA 30281",Stockbridge,GA,30281,https://www.yelp.com/biz/the-lump-and-bump-doc-stockbridge?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+16789029035,23.12,0.0
"Maria R Pico, MD","210 Village Center Pkwy, Dermatology & Skin Surgery Center, Stockbridge, GA 30281",Stockbridge,GA,30281,https://www.yelp.com/biz/maria-r-pico-md-stockbridge?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17704745952,23.12,1.0
High Quality Cosmetic Dermatology,"1215 Eagles Landing Pkwy, Stockbridge, GA 30281",Stockbridge,GA,30281,https://www.yelp.com/biz/high-quality-cosmetic-dermatology-stockbridge?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17703899116,23.12,0.0
"David Bryant, MD","245 Village Center Pkwy, Ste 120, Stockbridge, GA 30281",Stockbridge,GA,30281,https://www.yelp.com/biz/david-bryant-md-stockbridge-5?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+16788857110,23.17,1.2
Clair Alvin H PC,"137 Marquis Dr, # B, Fayetteville, GA 30214",Fayetteville,GA,30214,https://www.yelp.com/biz/clair-alvin-h-pc-fayetteville?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17704611335,23.4,0.0
"G Anthony Slagel, DO","101 Yorktown Dr, Ste 207, Fayetteville, GA 30214",Fayetteville,GA,30214,https://www.yelp.com/biz/g-anthony-slagel-do-fayetteville?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17704604283,23.43,1.8
First Georgia Physician Group,"101 Yorktown Dr, Ste 200, Fayetteville, GA 30214",Fayetteville,GA,30214,https://www.yelp.com/biz/first-georgia-physician-group-fayetteville?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17704604285,23.44,2.1
"James T Sandwich, MD","1279 Hwy 54 W, Ste 100, Fayetteville, GA 30214",Fayetteville,GA,30214,https://www.yelp.com/biz/james-t-sandwich-md-fayetteville?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17704608988,23.5,5.0
Piedmont Physicians Dermatology,"101 Yorktown Dr, Ste 207, Fayetteville, GA 30214",Fayetteville,GA,30214,https://www.yelp.com/biz/piedmont-physicians-dermatology-fayetteville?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17704604283,23.51,1.0
Piedmont Urgent Care,"749 W Lanier Ave, Fayetteville, GA 30214",Fayetteville,GA,30214,https://www.yelp.com/biz/piedmont-urgent-care-fayetteville-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17708354925,23.52,3.3
Family Dermatology of Fayetteville,"1267 Highway 54 W, Fayetteville, GA 30214",Fayetteville,GA,30214,https://www.yelp.com/biz/family-dermatology-of-fayetteville-fayetteville?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17707168835,23.53,5.0
Pirozzi Donald J MD,"1267 Highway 54 W, Ste 4200, Fayetteville, GA 30214",Fayetteville,GA,30214,https://www.yelp.com/biz/pirozzi-donald-j-md-fayetteville?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17707168835,23.53,0.0
Fayette Area Dermatology,"450 Lanier Ave W, Fayetteville, GA 30214",Fayetteville,GA,30214,https://www.yelp.com/biz/fayette-area-dermatology-fayetteville?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17704608988,23.57,2.0
Epiphany Dermatology,"874 W Lanier Ave, Ste 270, Fayetteville, GA 30214",Fayetteville,GA,30214,https://www.yelp.com/biz/epiphany-dermatology-fayetteville?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14709472220,23.62,3.0
"Alvin H Clair, MD PC","874 West Lanier Ave, Fayetteville, GA 30214",Fayetteville,GA,30214,https://www.yelp.com/biz/alvin-h-clair-md-pc-fayetteville-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17704611335,23.62,0.0
Bella Dermatology,"2340 Patrick Henry Pkwy, Ste 200, Mcdonough, GA 30253",Mcdonough,GA,30253,https://www.yelp.com/biz/bella-dermatology-mcdonough?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17705078481,24.16,2.2
"Terry L Sharpe, MD - Bella Dermatology","2340 Patrick Henry Pkwy, Ste 200, McDonough, GA 30253",McDonough,GA,30253,https://www.yelp.com/biz/terry-l-sharpe-md-bella-dermatology-mcdonough-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17705078481,24.17,2.5
Southern Dermatology,"1805 Herrington Rd, Bldg 3, Ste A, Lawrenceville, GA 30043",Lawrenceville,GA,30043,https://www.yelp.com/biz/southern-dermatology-lawrenceville?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17708172592,24.67,3.8
Acworth Dermatology & Skin Cancer Center,"4450 Calibre Crossing, Ste 1208, Acworth, GA 30101",Acworth,GA,30101,https://www.yelp.com/biz/acworth-dermatology-and-skin-cancer-center-acworth?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+16785058030,24.74,5.0
Spectrum Dermatology of Atlanta,"1725 Windward Concourse, Ste 120, Alpharetta, GA 30005",Alpharetta,GA,30005,https://www.yelp.com/biz/spectrum-dermatology-of-atlanta-alpharetta?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+14707318010,24.74,4.6
"Shereen Timani, MD - Johns Creek Dermatology","6300 Hospital Pkwy, Ste 100, Johns Creek, GA 30097",Johns Creek,GA,30097,https://www.yelp.com/biz/shereen-timani-md-johns-creek-dermatology-johns-creek?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,+17707716591,24.78,1.0
